smiles_a,gene,smiles_b,pic50_a,pic50_b,relation_a,relation_b
COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,INSRR,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,7.28,8.21,=,=
COc1cccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1,CSNK2B,O=C1NC(=O)/C(=C/c2cnn3c(NCC4CC4)cc(Nc4cccc(Cl)c4)nc23)N1,5.88,6.29,=,=
Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21,CASK,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,5.92,7.96,=,=
CCCCOc1ccc(C(=O)Nc2cc(C(C)(C)C)[nH]n2)cc1,STK25,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,6.21,5.17,=,=
COc1ccc(CNc2cc(Oc3cccc(NC(=O)CCl)c3)ncn2)cc1,MAP2K7,C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccccc4)nn3)c3c(N)ncnc32)C1,6.52,7.49,=,=
Cc1[nH]c(/C=C2\C(=O)Nc3ccc(S(=O)(=O)Cc4c(Cl)cccc4Cl)cc32)c(C)c1C(=O)N1CCC[C@@H]1CN1CCCC1,GRK7,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,7.21,5.85,=,=
CO[C@@H](c1ccc(-c2ccccc2)cc1)c1nc2ccc(C(=O)O)cc2[nH]1,MLKL,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,4.3,6.0,=,=
CC(=O)c1ccccc1-c1ncnc2[nH]ccc12,PIM1,CC(C)n1c(C2CCNCC2)nc2c([N+](=O)[O-])c(Br)c(Br)cc21,4.1,8.7,=,=
Oc1ccc(CCNc2ncnc3[nH]ccc23)cc1,TTBK2,Clc1ccc(Oc2ccc(Nc3ncnc4[nH]ccc34)cc2)cc1Cl,4.42,5.24,=,=
CO[C@@H]1[C@H](NCCOCCOCCOCCNC(=O)CCC2=[N+]3C(=Cc4c(C)cc(C)n4[B-]3(F)F)C=C2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,PRKCD,Cc1c(Nc2c(C#N)cncc2/C=C/c2cccc(CN3CCC(N(C)C)CC3)c2)ccc2[nH]ccc12,7.89,7.47,=,=
Cc1nc(Nc2cccc(N3CCOCC3=O)n2)sc1-c1cc2c(c(S(=O)(=O)NC3COC3)c1)C(=O)N([C@@H](C)C1CC1)C2,PIK3C2A,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,5.5,4.57,=,=
Cc1c(Nc2nccc(-c3ccc4c(c3)CN(CCO)CC[C@H]4NC(=O)c3cn(C(C)(C)C)nn3)n2)cnn1C,BTK,CN1CCN(c2ccc(Nc3nc(-c4cccc(NC(=O)c5ccccc5F)c4)sc3C(=O)O)cc2)CC1,6.3,4.66,=,=
CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,MAST1,COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1,6.0,5.34,=,=
Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c3c2C=NNC4=O)cn1,ADCK1,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,5.35,4.79,=,=
COc1ccc(C(=O)Nc2cnc(-c3ccc(C(=O)O)cc3)s2)cc1,CSNK2A1,O=C(O)c1ccc2c(c1)nc(Nc1cccc(F)c1)c1ncncc12,4.3,7.58,=,=
CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,CSNK1A1L,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,5.62,6.0,=,=
COc1cc(OC2CCN(C)CC2)ccc1Nc1ncc2c(n1)n(C1CCCC1)c(=O)n2C,AURKA,Cc1cc(Nc2nc(CC3(C(=O)N4CCC4)CCN(C(=O)c4cccc(Cl)c4F)CC3)ccc2F)n[nH]1,4.68,9.0,=,=
